latitude,longitude,correlation,p_value,count,significant
-70.5,-174.5,0.8706119240132475,1.6169916118555318e-19,60,True
-70.5,-164.5,0.6751628067397691,8.396055582324853e-09,57,True
-70.5,-154.5,0.38042712485318436,0.00045947817735638753,81,True
-70.5,-144.5,0.8221014584325059,8.826622000642166e-20,76,True
-70.5,-134.5,0.8340013059524405,1.8355064091203665e-13,48,True
-70.5,-124.5,0.18118365800373945,0.34690885296333346,29,False
-70.5,-114.5,0.965057609190474,3.532880180197814e-20,34,True
-70.5,-104.5,0.9676969550339976,2.418520720205185e-24,40,True
-70.5,-94.5,0.9328348819152277,1.9552984871061084e-18,40,True
-70.5,-84.5,0.7953102855362032,1.1436561875833529e-08,35,True
-70.5,-74.5,0.8789209831153001,7.3845468803931495e-06,16,True
-70.5,-44.5,0.43589665022369667,0.02041035410194967,28,True
-70.5,-34.5,0.024734423351551932,0.8618236510457116,52,False
-70.5,-24.5,0.47526180081469915,0.0011136745527872325,44,True
-70.5,-14.5,0.6584145835965203,2.8803975413740653e-06,41,True
-70.5,-4.5,0.4863962613331538,0.011749659403201985,26,True
-70.5,5.5,0.044331941908345114,0.8262114715271855,27,False
-70.5,15.5,0.7874937520303972,1.3630275144614595e-05,22,True
-70.5,25.5,0.6338476027400197,0.0015378478023455229,22,True
-70.5,35.5,0.49979674235922356,0.05781681235185977,15,False
-70.5,45.5,0.8018153114891495,0.009343249350868381,9,True
-70.5,65.5,0.6944434161922268,0.19319203397731904,5,False
-70.5,75.5,0.04695554464795551,0.9296184473645415,6,False
-70.5,165.5,0.8546024765329461,3.6391880463997203e-09,29,True
-70.5,175.5,0.8902028734560035,4.791269051121074e-19,53,True
-60.5,-174.5,0.8170083445779764,3.6180722129842777e-25,100,True
-60.5,-164.5,0.9721089945327992,6.739482833832055e-63,99,True
-60.5,-154.5,0.9881426514768918,5.88174414299216e-71,87,True
-60.5,-144.5,0.9445268347584901,2.859905431818985e-46,94,True
-60.5,-134.5,0.9632405580806958,9.548301872760765e-58,100,True
-60.5,-124.5,0.47019553581038587,7.976675429668706e-07,100,True
