latitude,longitude,correlation,p_value,count,significant
-70.5,-174.5,0.9197135131159204,1.874567371912125e-26,63,True
-70.5,-164.5,0.5341988263114881,2.7087227626633684e-06,68,True
-70.5,-154.5,0.6196760959166512,3.2844174405488657e-10,84,True
-70.5,-144.5,0.9226723236084546,5.080183600268852e-34,80,True
-70.5,-134.5,0.914260654816318,1.8224157290013166e-20,50,True
-70.5,-124.5,0.4687680698982199,0.006805786564172989,32,True
-70.5,-114.5,0.959404789240107,1.0380263370827252e-19,35,True
-70.5,-104.5,0.9316315688147783,9.727255302561157e-19,41,True
-70.5,-94.5,0.9638293895740789,9.630087269953228e-26,44,True
-70.5,-84.5,0.8444178263978066,5.098863540143885e-11,37,True
-70.5,-74.5,0.9240394309913063,1.182244111864561e-07,17,True
-70.5,-44.5,0.5529561623261803,0.0022750271848393884,28,True
-70.5,-34.5,0.38119084784904844,0.004860737331103878,53,True
-70.5,-24.5,0.7061468477709316,4.977576366360374e-09,52,True
-70.5,-14.5,0.7084849734749508,6.016923400039052e-09,51,True
-70.5,-4.5,0.44374102655854797,0.01801379494048427,28,True
-70.5,5.5,0.11782289386874469,0.5427151828269693,29,False
-70.5,15.5,0.8428019173229935,3.4724057681311833e-08,27,True
-70.5,25.5,0.8513286325258315,1.3362174709424728e-07,24,True
-70.5,35.5,0.6197441910036718,0.010447959392910055,16,True
-70.5,45.5,0.4464989305342004,0.19581691219396988,10,False
-70.5,65.5,0.8688744639475273,0.02466357922358598,6,True
-70.5,75.5,0.688481171161988,0.059019843644222865,8,False
-70.5,165.5,0.8612140582348595,5.048763838612508e-10,31,True
-70.5,175.5,0.8920855728765311,1.2676573083943023e-20,57,True
-60.5,-174.5,-0.4618181903705518,1.3220979966973615e-06,100,True
-60.5,-164.5,0.09157706878776123,0.3648494812303785,100,False
-60.5,-154.5,0.8570290201858547,8.142064394914517e-29,96,True
-60.5,-144.5,0.8530096727136658,1.0089170447347157e-27,94,True
-60.5,-134.5,-0.1433006882970099,0.15492678810319496,100,False
-60.5,-124.5,-0.7597002041825767,5.068298950492959e-20,100,True
-60.5,-114.5,-0.8804942033274956,1.551065310900956e-33,100,True
-60.5,-104.5,-0.9424120411063956,2.067342062924061e-48,100,True
-60.5,-94.5,-0.9204326780371018,9.183427840832406e-42,100,True
-60.5,-84.5,-0.9247242110020724,6.739715298713777e-43,100,True
-60.5,-74.5,-0.8754057120992206,2.1911702767870844e-32,99,True
-60.5,-64.5,-0.7861810949949963,1.0560019172836161e-16,74,True
-60.5,-54.5,0.2944868611190367,0.02758474151901727,56,True
-60.5,-44.5,0.9467239691773675,4.2347137934895925e-43,86,True
-60.5,-34.5,0.9517207729889547,6.06209640717233e-48,92,True
-60.5,-24.5,0.929304486165373,8.639289658570283e-37,83,True
-60.5,-14.5,0.979406756889146,1.0618733713758131e-42,61,True
-60.5,-4.5,0.9446764556268179,2.5343457919472293e-46,94,True
-60.5,5.5,0.8482593074712537,5.0597998776678326e-26,90,True
-60.5,15.5,0.921073855627531,4.3874012549943614e-27,64,True
-60.5,25.5,0.857026823332295,2.4879830649301352e-25,84,True
-60.5,35.5,0.9737232232531977,2.131693073034585e-56,87,True
-60.5,45.5,0.9693907597784548,1.710088468558393e-47,77,True
-60.5,55.5,0.970243364708163,7.634373211566054e-58,93,True
