latitude,longitude,correlation,p_value,count,significant
-72.5,-174.5,-0.38450966609788684,0.00033202193771066796,83,True
-72.5,-164.5,-0.37974159435438387,0.0018089031040860047,65,True
-72.5,-154.5,-0.2472876930160956,0.04204501488414375,68,True
-72.5,-144.5,-0.34939422422982724,0.005780688012404301,61,True
-72.5,-134.5,-0.3540319535997457,0.04681824330311137,32,True
-72.5,-124.5,-0.9186257887764037,9.25480083959831e-06,13,True
-72.5,-114.5,-0.500636773895364,0.0245574553363576,20,True
-72.5,-104.5,-0.35710672754358164,0.11201980193157494,21,False
-72.5,-94.5,-0.565483035782372,0.0013899204561810174,29,True
-72.5,-84.5,-0.29112210071986916,0.2004230264600197,21,False
-72.5,-44.5,-0.020492595867394978,0.9445647099533279,14,False
-72.5,-34.5,-0.3051162202918062,0.027843782438420072,52,True
-72.5,-24.5,-0.19433948615987962,0.22950571036087636,40,False
-72.5,-14.5,-0.3676830645800279,0.02516631196963771,37,True
-72.5,-4.5,-0.6142665637410669,0.008704733033897072,17,True
-72.5,5.5,-0.45105688096016633,0.16378375140452264,11,False
-72.5,15.5,-0.535326714757252,0.11079431859875694,10,False
-72.5,25.5,-0.48831060125622183,0.15215368111228608,10,False
-72.5,35.5,-0.6601674505994168,0.22529381406184712,5,False
-72.5,165.5,-0.37136638651633597,0.06177478579240152,26,False
-72.5,175.5,-0.11280597314780516,0.31295318774856384,82,False
-62.5,-174.5,-0.703899526046233,3.123649666780053e-16,100,True
-62.5,-164.5,-0.8643795425211867,1.6265264821280568e-29,95,True
-62.5,-154.5,-0.4468186353441356,9.00563625201389e-06,91,True
-62.5,-144.5,0.2215548143686017,0.030946942748082948,95,True
-62.5,-134.5,0.7304916004115349,1.3863485587781323e-17,98,True
-62.5,-124.5,0.6504330250651347,3.185383363106625e-13,99,True
-62.5,-114.5,0.7986089295636503,2.4565327214401875e-23,100,True
-62.5,-104.5,0.8963151180445099,2.184605975387738e-36,100,True
-62.5,-94.5,0.9345819985365152,8.828989340173457e-46,100,True
-62.5,-84.5,0.9229922107343206,1.9695464983452963e-42,100,True
-62.5,-74.5,0.7950149022360505,4.0123282510663694e-22,96,True
-62.5,-64.5,0.337903160089551,0.003951944599635541,71,True
-62.5,-54.5,-0.5866185125419441,4.450197098529281e-05,42,True
-62.5,-44.5,-0.5786784789456362,4.3417185230772775e-09,87,True
-62.5,-34.5,-0.7524213293214466,4.397391055001932e-17,87,True
-62.5,-24.5,-0.8595355124853981,2.4979765039971756e-25,83,True
-62.5,-14.5,-0.714164771974308,1.4884463323833106e-10,60,True
-62.5,-4.5,-0.6703601028142904,9.074247944595694e-13,88,True
-62.5,5.5,-0.7087108177821995,1.1191594702040588e-14,88,True
-62.5,15.5,-0.7867567093099324,7.949108105660088e-15,65,True
-62.5,25.5,-0.7138316544508866,5.1769324828180275e-14,82,True
-62.5,35.5,-0.48243635766893755,2.553995178966977e-06,86,True
-62.5,45.5,-0.6875921977300314,1.8267073619432023e-11,73,True
-62.5,55.5,-0.6494547004462544,7.179502603328827e-11,80,True
-62.5,65.5,-0.6926513109609408,7.660646387801389e-14,88,True
-62.5,75.5,-0.7541843000705857,6.694330785417208e-16,80,True
-62.5,85.5,-0.7502072871824961,2.66765588304267e-15,78,True
-62.5,95.5,-0.8700451449661033,2.4897217708039364e-21,66,True
-62.5,105.5,-0.6808666306432852,1.1360245871564419e-09,62,True
-62.5,115.5,-0.7676480615827368,5.995905214131371e-16,76,True
-62.5,125.5,-0.6782412978283039,1.2291703773443531e-11,77,True
-62.5,135.5,-0.7712346828060377,5.66793667212847e-15,70,True
-62.5,145.5,-0.7328438836158163,4.806355837433242e-16,88,True
-62.5,155.5,-0.8122766104139318,8.708354740286531e-23,92,True
-62.5,165.5,-0.6923284852979392,1.086373308976383e-14,94,True
-62.5,175.5,-0.5848978080081002,3.1553754916749935e-10,97,True
-52.5,-174.5,0.9621860803182968,3.722332828933909e-57,100,True
-52.5,-164.5,0.9793902250063218,6.818797301394361e-70,100,True
-52.5,-154.5,0.9419760217707196,2.9603724847859254e-48,100,True
-52.5,-144.5,0.8665019552700332,2.4813279586613146e-31,100,True
-52.5,-134.5,0.9523767722441951,2.38071153960705e-52,100,True
-52.5,-124.5,0.9467917851002222,4.765140661908925e-50,100,True
-52.5,-114.5,0.921369371016566,5.259492598501246e-42,100,True
-52.5,-104.5,0.5567695278606226,1.7955459267876223e-09,100,True
-52.5,-94.5,-0.10931255481850727,0.2814515522335112,99,False
-52.5,-84.5,-0.8289984029045991,1.778982320500967e-26,100,True
-52.5,-74.5,-0.8888120395517562,2.7589918758859034e-20,57,True
-52.5,-64.5,-0.1895937221058535,0.2753400245064429,35,False
-52.5,-54.5,0.9240299613304601,2.3744330420434655e-39,92,True
-52.5,-44.5,0.8556325447949127,8.738953926815793e-30,100,True
-52.5,-34.5,0.27769689271073106,0.005632197246796826,98,True
-52.5,-24.5,-0.4542665660852687,2.061339374874609e-06,100,True
-52.5,-14.5,0.03411102756956053,0.7361773982292416,100,False
-52.5,-4.5,-0.58495301461915,7.408191778784373e-10,93,True
-52.5,5.5,-0.7907803597063273,1.2977533214032622e-22,100,True
-52.5,15.5,-0.864917554813988,6.83734777538974e-30,96,True
-52.5,25.5,-0.8314921598547464,3.021809750718416e-26,98,True
-52.5,35.5,-0.7607176295811958,4.229689928893192e-20,100,True
-52.5,45.5,-0.6096682317143337,1.672664574913462e-11,100,True
-52.5,55.5,-0.7952992030105368,5.00912991504728e-23,100,True
-52.5,65.5,-0.7527197610762338,1.4203818715559037e-18,95,True
-52.5,75.5,-0.46443207635202244,2.414076459928495e-06,94,True
-52.5,85.5,-0.14404211930654218,0.15278034701787152,100,False
-52.5,95.5,0.6156054791920771,9.366500306046588e-12,100,True
-52.5,105.5,-0.22510614131999865,0.024338497964654572,100,True
-52.5,115.5,0.8587247345521429,3.270477561366801e-30,100,True
-52.5,125.5,0.9078708145270911,8.884588526995978e-39,100,True
-52.5,135.5,0.9430397857712186,1.2267677438779478e-48,100,True
-52.5,145.5,0.9118099025911146,1.15027151065345e-39,100,True
-52.5,155.5,0.9496935514498834,3.2739746252061166e-51,100,True
-52.5,165.5,0.9673728421085377,4.809945349843608e-59,98,True
-52.5,175.5,0.87951495381751,4.494414607824829e-32,96,True
-42.5,-174.5,0.9486158032956731,2.862949349484117e-50,99,True
-42.5,-164.5,0.7560241722539267,9.671034594608645e-20,100,True
-42.5,-154.5,0.5664539201054339,8.109373324219763e-10,100,True
-42.5,-144.5,0.564133907171902,9.833328392342762e-10,100,True
-42.5,-134.5,0.5657548505107389,1.276745532168751e-09,98,True
-42.5,-124.5,0.2683218797206765,0.009707659364633529,92,True
-42.5,-114.5,-0.3006940534993673,0.002625610656920008,98,True
-42.5,-104.5,-0.1977397118804468,0.048603375975401646,100,True
-42.5,-94.5,-0.5575994123461805,2.979107223394638e-09,97,True
-42.5,-84.5,0.4284755574270762,9.667324988458663e-06,99,True
-42.5,-74.5,0.6083730059047185,1.3488554563419983e-06,53,True
-42.5,-64.5,-0.9267510116969018,0.007851615846950608,6,True
-42.5,-54.5,0.9690597299791766,8.1792958142571285e-53,86,True
-42.5,-44.5,0.9506331763366533,1.3294542064512853e-51,100,True
-42.5,-34.5,0.9671703593650324,4.118260128659929e-60,100,True
-42.5,-24.5,0.9887499036592982,1.1145963196087885e-82,100,True
-42.5,-14.5,0.9806376257620206,1.6915618043786204e-70,99,True
-42.5,-4.5,0.9657202284689232,3.307320135841783e-59,100,True
-42.5,5.5,0.982618070809185,1.7466035043911707e-73,100,True
-42.5,15.5,0.9854526729378124,3.040525679386571e-77,100,True
-42.5,25.5,0.9824289306054246,2.954994169658404e-73,100,True
-42.5,35.5,0.9881777215796421,1.25009359094483e-81,100,True
-42.5,45.5,0.9830138286064298,5.703602521313044e-74,100,True
-42.5,55.5,0.9773592291743223,6.498663306752261e-68,100,True
