latitude,longitude,correlation,p_value,count,significant
-71.5,-174.5,0.948565273886677,3.6248571044538424e-32,63,True
-71.5,-164.5,0.40516622758209786,0.0013213250161965492,60,True
-71.5,-154.5,0.31442622530270903,0.00567125797839178,76,True
-71.5,-144.5,0.8119408325008228,1.493904569585077e-17,70,True
-71.5,-134.5,-0.41296860417290715,0.008087560633328687,40,True
-71.5,-124.5,-0.5312793197882859,0.009088739044556836,23,True
-71.5,-114.5,-0.9114740701343889,2.3998571163063043e-10,25,True
-71.5,-104.5,-0.8619576292114739,4.693827009600717e-10,31,True
-71.5,-94.5,-0.6887253256100105,1.7518025409280616e-06,38,True
-71.5,-84.5,-0.5704650543392865,0.001232601605289005,29,True
-71.5,-74.5,-0.4772466904391026,0.19390676120673075,9,False
-71.5,-44.5,0.7673005156324205,7.872878941091825e-05,20,True
-71.5,-34.5,0.6092916056881212,2.656182873222098e-06,50,True
-71.5,-24.5,0.6432211343356514,1.8862131035082471e-06,45,True
-71.5,-14.5,0.27148930671666816,0.07822857231003605,43,False
-71.5,-4.5,0.2700606488531845,0.2241751352240971,22,False
-71.5,5.5,0.030929030074572893,0.8970072179949835,20,False
-71.5,15.5,0.8722019691765754,5.0105955164451024e-06,17,True
-71.5,25.5,0.7615866851529527,0.0006082023502054935,16,True
-71.5,35.5,-0.09734847546794016,0.8355180611492854,7,False
-71.5,165.5,-0.8034591220097055,1.5432393856042883e-07,29,True
-71.5,175.5,0.6900413097077123,4.136729311166704e-08,49,True
-61.5,-174.5,-0.8774523046162213,4.926473562683694e-33,100,True
-61.5,-164.5,-0.8560368100190021,1.4962435129740363e-29,99,True
-61.5,-154.5,-0.7534292795272453,1.265191398689987e-18,95,True
-61.5,-144.5,0.15469452046813795,0.1323470825925332,96,False
-61.5,-134.5,-0.8729280762897574,2.5993153789738277e-32,100,True
-61.5,-124.5,-0.9695515172263909,4.470284704265803e-61,99,True
-61.5,-114.5,-0.9841244951514896,2.1308589025396817e-75,100,True
