latitude,longitude,correlation,p_value,count,significant
-72.5,-174.5,0.6072552573528832,1.1543739281329305e-09,83,True
-72.5,-164.5,0.7605597055806533,1.9832666558413773e-13,65,True
-72.5,-154.5,0.8063208553798851,6.271246176371479e-17,69,True
-72.5,-144.5,0.90740697652595,6.958178164452383e-24,61,True
-72.5,-134.5,0.8860715007545733,1.554200262602552e-11,32,True
-72.5,-124.5,0.8768559036240025,8.317863257882601e-05,13,True
-72.5,-114.5,0.9491964779555648,1.7795319500359868e-10,20,True
-72.5,-104.5,0.6837581897332624,0.000886978335193923,20,True
-72.5,-94.5,0.8213846174212225,4.753965713332073e-08,29,True
-72.5,-84.5,0.9610974110662034,4.528232116333884e-12,21,True
-72.5,-44.5,0.7599604476904667,0.0025727420337280185,13,True
-72.5,-34.5,0.9569654910143706,1.936272832843688e-27,50,True
-72.5,-24.5,0.9826563860687388,6.0664189526103825e-28,38,True
-72.5,-14.5,0.7818075707047897,1.1124419869578233e-08,37,True
-72.5,-4.5,0.675349574679575,0.0029295288178726527,17,True
-72.5,5.5,-0.25128627153669186,0.4837259784062283,10,False
-72.5,15.5,0.6011187106591864,0.06604850343007543,10,False
-72.5,25.5,0.49616134842020604,0.14468300653180272,10,False
-72.5,35.5,0.5522114151096026,0.3344806422788053,5,False
-72.5,165.5,-0.15374377359361097,0.45333737828428267,26,False
-72.5,175.5,0.5750768266542969,1.5983000891441526e-08,82,True
-62.5,-174.5,-0.622840433211344,4.544464007569206e-12,100,True
-62.5,-164.5,-0.6605070395748668,3.2791057328787395e-13,95,True
-62.5,-154.5,0.037915630104034544,0.7197217971342562,92,False
-62.5,-144.5,0.8258036968972962,7.3025150070982e-25,95,True
-62.5,-134.5,0.17071264613725187,0.09283157555991671,98,False
-62.5,-124.5,-0.3782078640366365,0.0001135159799020767,99,True
-62.5,-114.5,-0.4991199833050785,1.2522965868817856e-07,100,True
-62.5,-104.5,-0.06669777396214263,0.5096858537543636,100,False
-62.5,-94.5,0.21838974846784442,0.029045997573964977,100,True
-62.5,-84.5,0.022274721701937426,0.8258913938760056,100,False
-62.5,-74.5,-0.2505837149966611,0.013798359296534978,96,True
-62.5,-64.5,-0.22663496389935492,0.057357813038182846,71,False
-62.5,-54.5,-0.5410565050227445,0.0002159092482727426,42,True
-62.5,-44.5,-0.41107646627992445,6.935860378121155e-05,88,True
-62.5,-34.5,-0.044381172489910636,0.6813791504243155,88,False
-62.5,-24.5,0.2205392802212745,0.0451259497256711,83,True
-62.5,-14.5,0.47586946973908306,0.00013936857218018486,59,True
-62.5,-4.5,0.7386313136652163,2.1468712804126507e-16,88,True
-62.5,5.5,0.6318627698996058,4.068941584200913e-11,88,True
-62.5,15.5,0.7459994591634571,9.984196569656687e-13,65,True
-62.5,25.5,0.7585628459867326,1.5265121929753704e-16,82,True
-62.5,35.5,0.4617207699716182,7.651612928838269e-06,86,True
-62.5,45.5,0.31534484559768955,0.00697205887552645,72,True
-62.5,55.5,0.5872605654787474,1.0292908706285369e-08,80,True
-62.5,65.5,0.2714743529782062,0.010512995230322234,88,True
-62.5,75.5,0.43805910272213255,4.8274032895931136e-05,80,True
-62.5,85.5,0.3777486496207885,0.0006506237606540109,78,True
-62.5,95.5,-0.04815614785964363,0.7010004228078737,66,False
-62.5,105.5,-0.07643557492698477,0.5548750291465496,62,False
-62.5,115.5,0.1609888627340515,0.16474490972324754,76,False
-62.5,125.5,0.20858744817062114,0.06868432566135586,77,False
-62.5,135.5,0.08813217451072247,0.46814327459485156,70,False
-62.5,145.5,-0.007194300568216662,0.9469603314743078,88,False
-62.5,155.5,0.18108927653374512,0.08407571113701184,92,False
-62.5,165.5,-0.6064730250818561,9.277811910250868e-11,94,True
-62.5,175.5,-0.638941290472046,1.8919692656982216e-12,97,True
-52.5,-174.5,0.98364470483432,9.062057055378384e-75,100,True
-52.5,-164.5,0.9796389446220546,3.7835398731096233e-70,100,True
-52.5,-154.5,0.9240271194991027,1.0409103617364964e-42,100,True
-52.5,-144.5,0.6953291778167442,9.992277030970122e-16,100,True
-52.5,-134.5,0.9290354126501743,4.161145839246793e-44,100,True
-52.5,-124.5,0.9703327114373637,3.1051530109413736e-62,100,True
-52.5,-114.5,0.973073980449306,2.866096004468166e-64,100,True
-52.5,-104.5,0.8210071349065684,1.3583677445913983e-25,100,True
-52.5,-94.5,0.6641397965057589,6.701557209831025e-14,99,True
-52.5,-84.5,-0.5198618144446883,2.9760530783211496e-08,100,True
-52.5,-74.5,-0.8384262690669968,4.0329459008255967e-16,57,True
-52.5,-64.5,-0.05579090391240556,0.7502388290903829,35,False
-52.5,-54.5,0.6010289250045489,4.74358663480969e-10,89,True
-52.5,-44.5,0.39099501425486255,5.767404822726461e-05,100,True
-52.5,-34.5,-0.2955770238193074,0.003289210855135853,97,True
-52.5,-24.5,-0.7349546165576359,3.185261798503487e-18,100,True
-52.5,-14.5,-0.5720411215326593,5.066452739232522e-10,100,True
-52.5,-4.5,-0.6453766690609919,2.8812489892765435e-12,93,True
-52.5,5.5,-0.7643023750571979,2.2202269775768198e-20,100,True
-52.5,15.5,-0.8426263861270288,5.225283047969263e-27,96,True
-52.5,25.5,-0.8452081844105546,7.228311423807835e-28,98,True
-52.5,35.5,-0.7888280330961271,1.9439107980557822e-22,100,True
-52.5,45.5,-0.8760594440555461,1.7254157374621593e-32,99,True
-52.5,55.5,-0.9146484169173545,2.4822806717158734e-40,100,True
-52.5,65.5,-0.8806471619517149,6.286793542387675e-32,95,True
-52.5,75.5,-0.37441494799087904,0.00021787731228831172,93,True
-52.5,85.5,-0.22477057496747532,0.025303399193777436,99,True
-52.5,95.5,0.22805603218453147,0.022486473210475137,100,True
-52.5,105.5,-0.5095914726579853,6.135281457499742e-08,100,True
-52.5,115.5,0.8225059628167771,9.349981053828133e-26,100,True
-52.5,125.5,0.9109214289743844,1.8392436564114137e-39,100,True
-52.5,135.5,0.9392867936316184,2.5537506126628023e-47,100,True
-52.5,145.5,0.8206989493304979,1.4661638960259659e-25,100,True
-52.5,155.5,0.8968037567692966,1.7542806702685676e-36,100,True
-52.5,165.5,0.942495978355915,1.7443720764611279e-47,98,True
-52.5,175.5,0.967927147241644,3.427399570068758e-58,96,True
-42.5,-174.5,0.9939144531311604,9.64560503217513e-95,99,True
-42.5,-164.5,0.88721879345595,1.0737723831236027e-34,100,True
-42.5,-154.5,0.637126783563597,1.0300881842859955e-12,100,True
-42.5,-144.5,0.524667435275689,2.10387529044885e-08,100,True
-42.5,-134.5,0.6231013306523676,7.307332120344715e-12,98,True
-42.5,-124.5,0.2961671406457815,0.004150361941432789,92,True
-42.5,-114.5,-0.21648986684532315,0.03226569436829029,98,True
-42.5,-104.5,-0.1938566732328263,0.053289273188894315,100,False
-42.5,-94.5,-0.6942455124844988,3.1428247999391496e-15,97,True
-42.5,-84.5,-0.7850226526373828,6.84902504611746e-22,99,True
-42.5,-74.5,0.22422010835082265,0.10651693414046313,53,False
-42.5,-54.5,0.9721637856430476,1.8938652448751433e-53,84,True
-42.5,-44.5,0.9823992876087522,3.207168821881096e-73,100,True
-42.5,-34.5,0.9805202295192402,4.419582872496094e-71,100,True
-42.5,-24.5,0.9898833011680943,6.295076205382117e-85,100,True
-42.5,-14.5,0.9885027829482368,2.136105482765954e-81,99,True
-42.5,-4.5,0.9732739996193509,1.998432080767491e-64,100,True
-42.5,5.5,0.985743498083804,1.1381485825217171e-77,100,True
-42.5,15.5,0.991256957246371,5.10107244197224e-88,100,True
-42.5,25.5,0.9880476805484916,2.130129579816183e-81,100,True
-42.5,35.5,0.9905775010105919,1.9649977264097167e-86,100,True
-42.5,45.5,0.9910216384325956,1.8639637853059679e-87,100,True
-42.5,55.5,0.9921879671629228,2.094984560656183e-90,100,True
-42.5,65.5,0.9923298365587145,3.044503972851831e-86,95,True
