latitude,longitude,correlation,p_value,count,significant
-70.5,-174.5,0.9323295185663383,9.417301953146757e-32,70,True
-70.5,-164.5,0.575464407241933,2.3102443436183273e-07,69,True
-70.5,-154.5,0.6619651108508466,5.267982361007381e-12,85,True
-70.5,-144.5,0.9221907839642635,6.412155486761873e-34,80,True
-70.5,-134.5,0.7168959544488758,4.745589668866491e-09,50,True
-70.5,-124.5,0.3535316288513341,0.047151765429822315,32,True
-70.5,-114.5,-0.5694581693525576,0.0003565320583898038,35,True
-70.5,-104.5,-0.7367637063632386,3.9761132731644624e-08,41,True
-70.5,-94.5,0.045776282343988284,0.7573599654277651,48,False
-70.5,-84.5,-0.23100542258717377,0.1628951470080927,38,False
-70.5,-74.5,0.63797798362857,0.00585849112154364,17,True
-70.5,-44.5,0.517148304951996,0.004831405708551442,28,True
-70.5,-34.5,0.27963385276641767,0.04257312928831615,53,True
-70.5,-24.5,0.5341369494869277,3.184934753532015e-05,54,True
-70.5,-14.5,0.6516810230903856,1.671667326820161e-07,52,True
-70.5,-4.5,0.44274523813422173,0.01830451986325189,28,True
-70.5,5.5,0.17248419002733625,0.3709313554330965,29,False
-70.5,15.5,0.9156842782763227,2.1713977048181642e-11,27,True
-70.5,25.5,0.8893919150411567,2.7799235496143563e-09,25,True
-70.5,35.5,0.5375198285545468,0.02606081666242662,17,True
-70.5,45.5,0.5845740915186702,0.07592163380720707,10,False
-70.5,65.5,0.8791411098968702,0.0040230442960404325,8,True
-70.5,75.5,0.7424971615892232,0.02194002683766404,9,True
-70.5,155.5,0.9225040520128769,0.02559401865214286,5,True
-70.5,165.5,-0.8360638737890045,1.3890956259604842e-09,33,True
-70.5,175.5,0.6830382455187177,2.5233124364931696e-09,59,True
-60.5,-174.5,-0.829712241158531,1.4760200654667537e-26,100,True
-60.5,-164.5,-0.7772544723155189,1.959864482673679e-21,100,True
-60.5,-154.5,-0.5605894098177528,2.8554993116906864e-09,96,True
-60.5,-144.5,-0.38108191892162996,0.00012787818258514419,96,True
-60.5,-134.5,-0.874384612253561,1.5323755593167728e-32,100,True
-60.5,-124.5,-0.9606916138309518,2.3994072866423946e-56,100,True
-60.5,-114.5,-0.986897637179026,1.8687949628740287e-79,100,True
-60.5,-104.5,-0.9928063736911064,3.737036405366823e-92,100,True
-60.5,-94.5,-0.9922794301842212,9.55461685450029e-90,99,True
-60.5,-84.5,-0.9863868108540782,1.202853279973232e-78,100,True
-60.5,-74.5,-0.9792658851894954,4.5294366722942725e-69,99,True
-60.5,-64.5,-0.9381533450702122,2.3358293840464294e-35,75,True
-60.5,-54.5,-0.4707259772094764,0.00021965022961379954,57,True
-60.5,-44.5,0.7011318267343704,3.9754112165017117e-14,87,True
-60.5,-34.5,0.9136809423577802,2.3846823206400542e-37,93,True
-60.5,-24.5,0.9251275895922141,3.0667303364340166e-36,84,True
-60.5,-14.5,0.9768940786178115,3.060791266601359e-41,61,True
-60.5,-4.5,0.9368272177460681,9.486923366937586e-44,94,True
-60.5,5.5,0.8482260777755106,5.104938213731101e-26,90,True
-60.5,15.5,0.9157930549470111,3.016417785673804e-26,64,True
-60.5,25.5,0.9096200435053815,5.029905644373335e-33,84,True
-60.5,35.5,0.9599292920248865,7.650874155078164e-50,89,True
-60.5,45.5,0.9739850559527065,9.3926527415585e-51,78,True
-60.5,55.5,0.8946586464203218,5.192032339313859e-35,97,True
-60.5,65.5,0.5491015137813364,5.754295001806907e-09,97,True
-60.5,75.5,0.7880720866058116,5.0046174440704285e-20,89,True
-60.5,85.5,0.8277129297379756,4.581900294497363e-25,95,True
-60.5,95.5,0.8619420506581463,6.570379592367583e-26,84,True
-60.5,105.5,0.8617004555359931,5.475358652418029e-25,81,True
-60.5,115.5,0.7627268933388753,1.005591334939941e-18,92,True
-60.5,125.5,-0.1349211916548252,0.19478801263074808,94,False
