latitude,longitude,correlation,p_value,count,significant
-72.5,-174.5,0.20952130524388532,0.05729680064602147,83,False
-72.5,-164.5,0.18071050491169113,0.14971031007205515,65,False
-72.5,-154.5,0.2571447389537527,0.03292539541274373,69,True
-72.5,-144.5,0.6999254559403577,3.454880637721962e-10,61,True
-72.5,-134.5,0.8464341816682581,1.038410383220227e-09,32,True
-72.5,-124.5,0.7869755410560804,0.0014114192274906107,13,True
-72.5,-114.5,0.8572111069858313,1.3792592007335376e-06,20,True
-72.5,-104.5,0.5831106582780865,0.0055297037584353505,21,True
-72.5,-94.5,0.35506233556134753,0.05874819548843105,29,False
-72.5,-84.5,0.7767919783480537,3.4521807598221794e-05,21,True
-72.5,-44.5,0.6685230548121084,0.012488260057550181,13,True
-72.5,-34.5,0.7174331757365702,4.5651106973719376e-09,50,True
-72.5,-24.5,0.867907765729048,3.537002974980523e-12,37,True
-72.5,-14.5,0.7404938212402736,1.6122373598577002e-07,37,True
-72.5,-4.5,0.8625178285180937,8.415161817801725e-06,17,True
-72.5,5.5,0.7491865163207949,0.007957815787856062,11,True
-72.5,15.5,0.8309311779564658,0.0028992621040411248,10,True
-72.5,25.5,0.6477661715991491,0.042846758723783886,10,True
-72.5,35.5,0.5084289965387068,0.38173423061262524,5,False
-72.5,165.5,-0.2295195394160754,0.25935980635969863,26,False
-72.5,175.5,0.03941412274463642,0.7251626696033269,82,False
-62.5,-174.5,-0.7873168667363484,2.649967995628877e-22,100,True
-62.5,-164.5,-0.9076666296266422,7.765638382014813e-37,95,True
-62.5,-154.5,-0.77365256759762,2.491708368649647e-19,91,True
-62.5,-144.5,0.2022239002023854,0.04937984927636474,95,True
-62.5,-134.5,0.6142674883940372,1.733187463525492e-11,98,True
-62.5,-124.5,0.3377911733530681,0.0006276356681859368,99,True
-62.5,-114.5,0.46589960010685677,1.0353320240995816e-06,100,True
-62.5,-104.5,0.688283663626951,2.5222939129266727e-15,100,True
-62.5,-94.5,0.8278072838869923,2.4245489584358164e-26,100,True
-62.5,-84.5,0.6218879555109983,5.0037500008262835e-12,100,True
-62.5,-74.5,0.12221327525917013,0.2355404383154703,96,False
-62.5,-64.5,-0.06420783535289785,0.5947460235650122,71,False
-62.5,-54.5,-0.4531693050718282,0.002580306753760965,42,True
-62.5,-44.5,-0.7359174467740218,3.141035976184454e-16,88,True
-62.5,-34.5,-0.6894974636754985,1.101496180953002e-13,88,True
-62.5,-24.5,-0.41027254617030906,0.00011710127382450448,83,True
-62.5,-14.5,-0.30017708115814273,0.019791904122875556,60,True
-62.5,-4.5,0.575739952646983,3.5804102470171885e-09,89,True
-62.5,5.5,0.5691380602833931,7.217994461724285e-09,88,True
-62.5,15.5,0.7520818136914054,5.151886200141925e-13,65,True
-62.5,25.5,0.2888155477881906,0.00850042095062502,82,True
-62.5,35.5,-0.02816216777430239,0.7968741685518106,86,False
-62.5,45.5,-0.11778191042224463,0.3209928277663124,73,False
-62.5,55.5,0.29418867173129243,0.008078246133737605,80,True
-62.5,65.5,-0.026466411667009367,0.8066346135759923,88,False
-62.5,75.5,0.18230345497392886,0.10555416894230953,80,False
-62.5,85.5,-0.22787262387799867,0.04480227717604598,78,True
-62.5,95.5,-0.5669579948521819,6.941409751715938e-07,66,True
-62.5,105.5,-0.5485471850853861,3.916813132591021e-06,62,True
-62.5,115.5,-0.3026927158592221,0.007866669116955471,76,True
-62.5,125.5,-0.265795832308493,0.019470628621922937,77,True
-62.5,135.5,-0.47226697302126264,3.664860004003374e-05,70,True
-62.5,145.5,-0.2279516354336548,0.032678741928183146,88,True
-62.5,155.5,0.005237063748708422,0.9604844387111248,92,False
-62.5,165.5,-0.7278091105476734,9.590183249865093e-17,94,True
-62.5,175.5,-0.667968827654137,7.793062216760206e-14,97,True
-52.5,-174.5,0.9770385973562985,1.2845934289644876e-67,100,True
-52.5,-164.5,0.9810182824564984,1.2570369379471167e-71,100,True
-52.5,-154.5,0.9430193017572053,1.2479543858678437e-48,100,True
-52.5,-144.5,0.8291504849776147,1.7097367379229672e-26,100,True
-52.5,-134.5,0.9341191500314889,1.2332849621497191e-45,100,True
-52.5,-124.5,0.966440743011994,1.1882407160945663e-59,100,True
-52.5,-114.5,0.9459970419405836,9.666012698498821e-50,100,True
-52.5,-104.5,0.6869613976123287,2.992279704195485e-15,100,True
-52.5,-94.5,0.21493226290627915,0.032644817465512746,99,True
-52.5,-84.5,-0.7838252274363324,5.37060156006659e-22,100,True
-52.5,-74.5,-0.9025017206517095,8.942792831030323e-22,57,True
-52.5,-64.5,0.030992905236822813,0.8597128112753356,35,False
-52.5,-54.5,0.8787799425821999,1.1577609667730585e-30,92,True
-52.5,-44.5,0.7636845435311744,2.48309154919187e-20,100,True
-52.5,-34.5,0.17407874012938637,0.08647440265615279,98,False
-52.5,-24.5,-0.7000193053160955,5.31507972675512e-16,100,True
-52.5,-14.5,-0.3769040122658973,0.00011099355035766496,100,True
-52.5,-4.5,-0.6491145104006121,1.9617605375896895e-12,93,True
-52.5,5.5,-0.8190343511496693,2.2091541358184054e-25,100,True
-52.5,15.5,-0.9105683369079022,7.739513157008089e-38,96,True
-52.5,25.5,-0.8877923780337629,4.0462723058283516e-34,98,True
-52.5,35.5,-0.8306887096537472,1.1417518491097146e-26,100,True
-52.5,45.5,-0.742292613253417,9.802187060921473e-19,100,True
-52.5,55.5,-0.8197203635556787,1.8666930154980547e-25,100,True
